text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Maybe I don't get this creativity by I would have cried if there had been another song..3 hrs of my life tat I will never get back #Rangoon,FALSE,1,NA,25-02-2017 17:10,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",s_kumta,0,FALSE,FALSE,NA,NA
"RT @HrithiksSniper: #Rangoon collections, occupancies n public ratings are lower than Siberian temperature and #Kangana 's character.",FALSE,0,NA,25-02-2017 17:10,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sunny1985a,2,TRUE,FALSE,NA,NA
RT @ShraddhaKapoor: Happy birthday Mr. K! Hearing the most amazing things about you in #Rangoon @shahidkapoor <ed><U+00A0><U+00BC><ed><U+00BC><U+0088><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0088><ed><U+00A0><U+00BC><ed><U+00BE><U+0082><U+2728><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><U+2764>,FALSE,0,NA,25-02-2017 17:09,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SarthakSmartboy,378,TRUE,FALSE,NA,NA
"RT @RangoonTheFilm: Everyone wants a ride to #Rangoon!
RT if you're taking one today - https://t.co/kdn4uTof0v
@shahidkapoor #SaifAliKhan h…",FALSE,0,NA,25-02-2017 17:09,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PerfectlyAdnan,43,TRUE,FALSE,NA,NA
"RT @Bollyhungama: #Rangoon Day 2 (Saturday) #NewZealand #boxoffice - 5,565 USD [Rs. 3.70 lacs] from 8 screens
https://t.co/TU5zvIltFd",FALSE,0,NA,25-02-2017 17:09,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pershad94,3,TRUE,FALSE,NA,NA
Watched #Rangoon. Unnecessary melodrama at some points. Could have been 30-40 mins shorter. Some dialogues are excellent. 3 Stars,FALSE,0,NA,25-02-2017 17:09,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shaitaankhopdi,0,FALSE,FALSE,NA,NA
"RT @BlogtoBollywood: For all those who are saying #Rangoon has a dismal start, guys, it's a historic film and 6.07 crs is a superb start. h…",FALSE,0,NA,25-02-2017 17:08,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SalmaMasoudOma1,30,TRUE,FALSE,NA,NA
"RT @Bollyhungama: #Rangoon Day 1 (Friday) #USA #boxoffice - 73,018 USD [Rs. 48.65 lacs] from 94 screens
https://t.co/L3GqYa6nkS",FALSE,0,NA,25-02-2017 17:08,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SRKrider1,8,TRUE,FALSE,NA,NA
"RT @Bollyhungama: #Rangoon Day 1 (Friday) #Canada #boxoffice - 16,928 USD [Rs. 11.28 lacs] from 19 screens
https://t.co/L3GqYa6nkS",FALSE,0,NA,25-02-2017 17:08,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SRKrider1,4,TRUE,FALSE,NA,NA
RT @sanashaikh72: Saw #Rangoon for the second time and loved it even more!!!! BLOODY HELL!,FALSE,0,NA,25-02-2017 17:08,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PerfectlyAdnan,8,TRUE,FALSE,NA,NA
"Tickets booked for #Rangoon <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Tomorrow!!! 11.45 show.<ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BE><ed><U+00B4><U+0098>
@shahidkapoor after hearing such fab stuffs about u, m more thrilled to watch now.<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,NA,25-02-2017 17:08,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",i_Prathit,0,FALSE,FALSE,NA,NA
"RT @pandey_vk18: Happy Birthday to one of the finest actor of Bollywood @shahidkapoor 
Wish u best wishes for #Rangoon ND ur life <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>",FALSE,0,NA,25-02-2017 17:08,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shahid_ki_pagli,5,TRUE,FALSE,NA,NA
"#Rangoon Day 1 (Friday) #Canada #boxoffice - 16,928 USD [Rs. 11.28 lacs] from 19 screens
https://t.co/L3GqYa6nkS",FALSE,9,NA,25-02-2017 17:07,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bollyhungama,4,FALSE,FALSE,NA,NA
"#Rangoon collections, occupancies n public ratings are lower than Siberian temperature and #Kangana 's character.",FALSE,1,NA,25-02-2017 17:07,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HrithiksSniper,2,FALSE,FALSE,NA,NA
"#Rangoon Day 1 (Friday) #USA #boxoffice - 73,018 USD [Rs. 48.65 lacs] from 94 screens
https://t.co/L3GqYa6nkS",FALSE,8,NA,25-02-2017 17:07,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bollyhungama,8,FALSE,FALSE,NA,NA
"#Rangoon Day 2 (Saturday) #NewZealand #boxoffice - 5,565 USD [Rs. 3.70 lacs] from 8 screens
https://t.co/TOoU6retet",FALSE,0,NA,25-02-2017 17:07,FALSE,NA,8.35537E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",BollywoodFansLK,0,FALSE,FALSE,NA,NA
